distance,date,time,pace
13.083,04-08-2024,66.11666666666666,5.053631939667252
9.172,02-08-2024,43.733333333333334,4.768134903328972
4.227,31-07-2024,20.9,4.944405015377336
6.542,30-07-2024,32.233333333333334,4.92713747070213
10.003,23-07-2024,47.68333333333333,4.766903262354626
7.286,22-07-2024,34.4,4.721383475157837
4.746,18-07-2024,23.016666666666666,4.849697991290911
8.212,17-07-2024,39.85,4.8526546517291775
2.293,14-07-2024,11.733333333333333,5.11702282308475
5.004,12-07-2024,22.483333333333334,4.493072208899547
8.935,11-07-2024,42.766666666666666,4.786420443947025
5.004,06-07-2024,22.366666666666667,4.469757527311485
7.141,04-07-2024,35.016666666666666,4.903608271483919
4.583,27-06-2024,23.766666666666666,5.18583169685068
5.016,22-06-2024,23.733333333333334,4.7315257841573635
9.63,12-06-2024,45.11666666666667,4.685012114918656
8.026,10-06-2024,39.15,4.8778968352853225
13.394,08-06-2024,65.68333333333334,4.903937086257528
1.113,07-06-2024,5.233333333333333,4.702006588799041
1.763,06-06-2024,8.95,5.076574021554169
3.51,06-06-2024,14.1,4.017094017094017
1.72,06-06-2024,9.633333333333333,5.60077519379845
5.008,05-06-2024,22.95,4.5826677316293924
10.069,04-06-2024,52.13333333333333,5.177607839242559
21.324,02-06-2024,112.18333333333334,5.260895391733883
7.153,30-05-2024,33.71666666666667,4.713639964583625
12.0,29-05-2024,58.03333333333333,4.836111111111111
6.652,23-05-2024,31.45,4.727901383042694
10.011,21-05-2024,44.7,4.465088402756968
5.819,19-05-2024,28.483333333333334,4.894884573523515
3.304,18-05-2024,16.616666666666667,5.029257465698144
13.513,17-05-2024,64.2,4.750980537260416
1.791,16-05-2024,9.216666666666667,5.146100874744091
7.108,16-05-2024,35.416666666666664,4.98264865878822
2.656,15-05-2024,14.133333333333333,5.3212851405622486
2.009,15-05-2024,7.833333333333333,3.8991206238592997
4.182,15-05-2024,21.35,5.105212816834051
3.676,14-05-2024,19.4,5.277475516866159
6.007,14-05-2024,26.016666666666666,4.331058209866267
4.556,12-05-2024,29.066666666666666,6.379865378987415
5.208,11-05-2024,26.25,5.040322580645161
8.851,09-05-2024,44.0,4.971189696079539
16.999,08-05-2024,85.9,5.053238425789753
6.959,06-05-2024,39.13333333333333,5.6234133256693974
6.509,02-05-2024,30.366666666666667,4.665335176934501
15.973,01-05-2024,80.45,5.036624303512177
10.553,29-04-2024,52.21666666666667,4.948040051802015
5.743,27-04-2024,34.15,5.946369493296186
11.871,26-04-2024,57.983333333333334,4.88445230674192
5.659,25-04-2024,25.6,4.52376745007952
10.008,24-04-2024,50.86666666666667,5.082600586197709
5.013,23-04-2024,19.966666666666665,3.9829775915951857
1.276,23-04-2024,6.966666666666667,5.459770114942529
5.003,20-04-2024,25.433333333333334,5.083616496768605
10.063,19-04-2024,50.36666666666667,5.005134320447845
11.333,17-04-2024,55.4,4.888379069972646
8.485,16-04-2024,40.416666666666664,4.763307798075035
9.315,15-04-2024,46.416666666666664,4.983002325997495
13.332,14-04-2024,69.98333333333333,5.249274927492749
13.913,12-04-2024,68.95,4.955796736864802
10.486,11-04-2024,51.15,4.877932481403776
7.567,10-04-2024,37.5,4.955728822518831
8.693,09-04-2024,42.0,4.831473599447832
5.818,08-04-2024,30.2,5.190787212100378
9.303,06-04-2024,45.5,4.890895410082768
5.017,04-04-2024,21.45,4.275463424357185
1.282,04-04-2024,6.766666666666667,5.278211128445138
12.821,03-04-2024,61.88333333333333,4.826716584769779
12.793,31-03-2024,62.38333333333333,4.876364678600276
5.978,28-03-2024,28.816666666666666,4.820452771272444
9.794,27-03-2024,48.38333333333333,4.94009938057314
8.946,25-03-2024,46.68333333333333,5.21834711975557
11.155,22-03-2024,56.61666666666667,5.075451964739281
8.05,21-03-2024,42.05,5.223602484472049
5.135,19-03-2024,25.266666666666666,4.9204803635183385
8.688,18-03-2024,43.0,4.949355432780846
3.312,16-03-2024,16.866666666666667,5.092592592592593
10.374,15-03-2024,52.03333333333333,5.015744489428699
8.87,13-03-2024,44.46666666666667,5.013152950018791
5.0,05-03-2024,21.85,4.37
8.009,03-03-2024,39.2,4.894493694593582
6.06,28-02-2024,31.0,5.115511551155116
8.0,26-02-2024,42.65,5.33125
5.887,21-02-2024,29.866666666666667,5.073325406262387
5.021,19-02-2024,23.666666666666668,4.713536480116843
5.908,16-02-2024,30.366666666666667,5.139923267885353
5.404,01-02-2024,27.616666666666667,5.110412040463854
5.29,07-11-2023,25.883333333333333,4.892879647132955
7.857,04-11-2023,39.3,5.0019091256204655
5.027,01-11-2023,24.35,4.843843246469067
8.006,25-10-2023,39.36666666666667,4.917145474227662
5.772,23-10-2023,29.4,5.093555093555093
3.263,19-10-2023,18.383333333333333,5.633874757380734
21.254,15-10-2023,106.08333333333333,4.991217339481195
4.291,11-10-2023,22.333333333333332,5.2046919909888905
15.026,24-09-2023,83.83333333333333,5.579218243932739
20.284,16-09-2023,96.83333333333333,4.773877604680208
11.86,13-09-2023,57.75,4.869308600337268
8.812,10-09-2023,44.833333333333336,5.087759116356485
6.409,06-09-2023,31.233333333333334,4.873355177614813
6.925,04-09-2023,37.96666666666667,5.482551143200963
7.305,02-09-2023,36.71666666666667,5.026237736710017
4.471,30-08-2023,19.0,4.249608588682621
15.194,28-08-2023,74.7,4.916414374095037
14.031,23-08-2023,74.98333333333333,5.344118974651367
6.378,21-08-2023,32.4,5.079962370649106
10.028,16-08-2023,50.05,4.991025129637016
4.909,14-08-2023,24.266666666666666,4.943301419162084
7.945,13-08-2023,38.4,4.833228445563247
11.596,10-08-2023,60.733333333333334,5.237438197079452
6.74,06-08-2023,31.733333333333334,4.708209693372898
5.017,30-07-2023,21.716666666666665,4.328616038801408
6.617,27-07-2023,31.8,4.805803234094
9.999,17-07-2023,50.25,5.025502550255025
5.204,15-07-2023,24.083333333333332,4.627850371509096
4.999,07-07-2023,22.9,4.580916183236647
10.01,01-07-2023,50.11666666666667,5.006660006660007
4.597,26-06-2023,23.016666666666666,5.006888550503951
